names,links,category
Estée Lauder,https://en.wikipedia.org/wiki/Est%C3%A9e_Lauder_(businesswoman),Unkown
Wangari Mathaai,https://en.wikipedia.org/wiki/Wangari_Maathai,Unkown
Gail Laughlin,https://en.wikipedia.org/wiki/Gail_Laughlin,Unkown
Margaret Chan,https://en.wikipedia.org/wiki/Margaret_Chan,Unkown
Elizabeth Margaret Chandler,https://en.wikipedia.org/wiki/Elizabeth_Margaret_Chandler,Unkown
Amelia Earhart,https://en.wikipedia.org/wiki/Amelia_Earhart,Unkown
Martha Stewart Leitch,https://en.wikipedia.org/wiki/Martha_Stewart_Leitch,Unkown
Martha Stewart,https://en.wikipedia.org/wiki/Martha_Stewart,Unkown
Malala Yousafzai,https://en.wikipedia.org/wiki/Malala_Yousafzai,Unkown
George Sand,https://en.wikipedia.org/wiki/George_Sand,Unkown
Golda Meir,https://en.wikipedia.org/wiki/Golda_Meir,Unkown
Jacinda Ardern,https://en.wikipedia.org/wiki/Jacinda_Ardern,Unkown
Gertrude Ederle,https://en.wikipedia.org/wiki/Gertrude_Ederle,Unkown
Gabby Douglas,https://en.wikipedia.org/wiki/Gabby_Douglas,Unkown
Helena Rubinstein,https://en.wikipedia.org/wiki/Helena_Rubinstein#Divorce_and_remarriage,Unkown
Madeleine Albright,https://en.wikipedia.org/wiki/Madeleine_Albright,Unkown
Anita Roddick,https://en.wikipedia.org/wiki/Anita_Roddick,Unkown
Charlotte Brontë,https://en.wikipedia.org/wiki/Charlotte_Bront%C3%AB,Unkown
Somaly Mam,https://en.wikipedia.org/wiki/Somaly_Mam,Unkown
Valentina Tereshkova,https://en.wikipedia.org/wiki/Valentina_Tereshkova,Unkown
Janis Joplin,https://en.wikipedia.org/wiki/Janis_Joplin,Unkown
Kerry Washington,https://en.wikipedia.org/wiki/Kerry_Washington,Unkown
Bessie Coleman,https://en.wikipedia.org/wiki/Bessie_Coleman,Unkown
Elizabeth Blackburn,https://en.wikipedia.org/wiki/Elizabeth_Blackburn,Unkown
Shirley Chisolm,https://en.wikipedia.org/wiki/Shirley_Chisholm,Unkown
Marilyn Monroe,https://en.wikipedia.org/wiki/Marilyn_Monroe,Unkown
Benazir Bhutto,https://en.wikipedia.org/wiki/Benazir_Bhutto,Unkown
