names,links,category
Julie Bindel,https://en.wikipedia.org/wiki/Julie_Bindel,Unkown
Lady Gaga,https://en.wikipedia.org/wiki/Lady_Gaga,Unkown
Ellen Page,https://en.wikipedia.org/wiki/Ellen_Page,Unkown
Rosalyn Sussman,https://en.wikipedia.org/wiki/Rosalyn_Sussman_Yalow,Unkown
Indra Nooyi,https://en.wikipedia.org/wiki/Indra_Nooyi,Unkown
Katelyn Gleason,https://en.wikipedia.org/wiki/Katelyn_Tarver,Unkown
Jayaben Desai,https://en.wikipedia.org/wiki/Jayaben_Desai,Unkown
Athene Donald,https://en.wikipedia.org/wiki/Athene_Donald,Unkown
Ellen J. Kullman,https://en.wikipedia.org/wiki/Ellen_J._Kullman,Unkown
Vera Lynn,https://en.wikipedia.org/wiki/Vera_Lynn,Unkown
Zainab Salbi,https://en.wikipedia.org/wiki/Zainab_Salbi,Unkown
Catherine Cook,https://en.wikipedia.org/wiki/Catherine_Cookson,Unkown
Martha Beck,https://en.wikipedia.org/wiki/Martha_Beck,Unkown
Marilyn Vos Savant,https://en.wikipedia.org/wiki/Marilyn_vos_Savant,Unkown
Molly Stevens,https://en.wikipedia.org/wiki/Molly_Stevens,Unkown
Nico,https://en.wikipedia.org/wiki/Nico,Unkown
Melinda Gates,https://en.wikipedia.org/wiki/Melinda_Gates,Unkown
Helen Bamber,https://en.wikipedia.org/wiki/Helen_Bamber,Unkown
Diane Sawyer,https://en.wikipedia.org/wiki/Diane_Sawyer,Unkown
Ellen Johnson-Sirleaf,https://en.wikipedia.org/wiki/Ellen_Johnson_Sirleaf,Unkown
Eve Ensler,https://en.wikipedia.org/wiki/Eve_Ensler,Unkown
Irene Rosenfield,https://en.wikipedia.org/wiki/Irene_Rosenfeld,Unkown
Diane Abbott,https://en.wikipedia.org/wiki/Diane_Abbott,Unkown
Lisa Cash Hanson,https://en.wikipedia.org/wiki/Lisa_I%27Anson,Unkown
Vigdis Finnbogadottir,https://en.wikipedia.org/wiki/File:Is-Vigdis_finnbogadottir.oga,Unkown
Rachel Zoe,https://en.wikipedia.org/wiki/Rachel_Zoe,Unkown
Susan Cain,https://en.wikipedia.org/wiki/Susan_Cain,Unkown
Chanda Kochhar,https://en.wikipedia.org/wiki/Chanda_Kochhar,Unkown
Mina Wylie,https://en.wikipedia.org/wiki/Mina_Wylie,Unkown
Lisa Simpson,https://en.wikipedia.org/wiki/Lisa_Simpson,Unkown
